2	152910	000050
2	152920	000040
2	152930	000030
2	152940	000020
2	152950	000010
4	153000	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
s	153500	000000
a	154000	000000
a	154000	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
e	154500	000000
